"","site_number_jupyter","water_depth","distance_to_shore","timezone","jurisdiction","year","site_number","watts","geometry"
"465",464,997.3578,77187.305,-8,"Federal","5yrave","omni-directional_wave_power_464",37098.32518,c(33.2457, -120.422)
"466",465,1771.6808,82832,-8,"Federal","5yrave","omni-directional_wave_power_465",37704.77892,c(33.2535, -120.579)
"467",466,38.2056,1652.8884,-8,"California","5yrave","omni-directional_wave_power_466",5469.607557,c(33.0439, -117.316)
"468",467,415.7831,9279.811,-8,"Federal","5yrave","omni-directional_wave_power_467",6310.586757,c(33.0834, -117.419)
"469",468,742.0245,21537.207,-8,"Federal","5yrave","omni-directional_wave_power_468",7623.42683,c(33.0836, -117.583)
"470",469,840,35432.098,-8,"Federal","5yrave","omni-directional_wave_power_469",8535.142461,c(33.0857, -117.76)
"471",470,919.4297,43519.06,-8,"Federal","5yrave","omni-directional_wave_power_470",9305.47668,c(33.0827, -117.924)
"472",471,1000.7621,32667.74,-8,"Federal","5yrave","omni-directional_wave_power_471",10134.45808,c(33.0835, -118.079)
"473",472,1122,24616.912,-8,"Federal","5yrave","omni-directional_wave_power_472",10961.17686,c(33.0852, -118.253)
"474",473,1170.8402,15365.645,-8,"Federal","5yrave","omni-directional_wave_power_473",10555.32973,c(33.0887, -118.418)
"475",474,1089.4119,4968.791,-8,"California","5yrave","omni-directional_wave_power_474",11740.43045,c(33.0833, -118.583)
"476",475,721.985,14609.426,-8,"Federal","5yrave","omni-directional_wave_power_475",14495.94677,c(33.0819, -118.751)
"477",476,1628.3981,29398.021,-8,"Federal","5yrave","omni-directional_wave_power_476",15213.02333,c(33.0839, -118.915)
"478",477,1788,36024.49,-8,"Federal","5yrave","omni-directional_wave_power_477",14948.2417,c(33.0891, -119.085)
"479",478,1650,23389.123,-8,"Federal","5yrave","omni-directional_wave_power_478",18209.14453,c(33.0812, -119.25)
"480",479,1116.0142,15375.297,-8,"Federal","5yrave","omni-directional_wave_power_479",24418.80353,c(33.0819, -119.415)
"481",480,335.818,17131.066,-8,"Federal","5yrave","omni-directional_wave_power_480",30111.69182,c(33.0803, -119.584)
"482",481,1281.2188,25276.375,-8,"Federal","5yrave","omni-directional_wave_power_481",33512.42506,c(33.0863, -119.758)
"483",482,1147.6154,37530.004,-8,"Federal","5yrave","omni-directional_wave_power_482",35029.99734,c(33.0832, -119.918)
"484",483,1154,50994.5,-8,"Federal","5yrave","omni-directional_wave_power_483",35904.66445,c(33.0826, -120.079)
"485",484,528.7317,65873.85,-8,"Federal","5yrave","omni-directional_wave_power_484",36638.54428,c(33.0787, -120.247)
"486",485,1048.7609,80594.664,-8,"Federal","5yrave","omni-directional_wave_power_485",37306.5569,c(33.0883, -120.414)
"487",486,3524.3184,95805.16,-8,"Federal","5yrave","omni-directional_wave_power_486",37897.03071,c(33.0799, -120.579)
"488",487,92.0093,3422.5037,-8,"California","5yrave","omni-directional_wave_power_487",5821.750019,c(32.9137, -117.296)
"489",488,682.3329,14453.822,-8,"Federal","5yrave","omni-directional_wave_power_488",7949.473059,c(32.9169, -117.416)
"490",489,873.0962,29232.742,-8,"Federal","5yrave","omni-directional_wave_power_489",8575.329247,c(32.9149, -117.582)
"491",490,1006.9506,44538.625,-8,"Federal","5yrave","omni-directional_wave_power_490",9418.923991,c(32.9203, -117.752)
"492",491,637.2716,42106.83,-8,"Federal","5yrave","omni-directional_wave_power_491",10363.46,c(32.9201, -117.915)
"493",492,551.0121,26431.018,-8,"Federal","5yrave","omni-directional_wave_power_492",10171.97231,c(32.919, -118.092)
"494",493,916.8196,13627.3955,-8,"Federal","5yrave","omni-directional_wave_power_493",6892.74303,c(32.9127, -118.252)
"495",494,1116.0702,5320.458,-8,"California","5yrave","omni-directional_wave_power_494",1383.736667,c(32.9311, -118.408)
"496",495,269.191,4756.2036,-8,"California","5yrave","omni-directional_wave_power_495",16366.02414,c(32.9111, -118.598)
"497",496,1193.7461,17253.729,-8,"Federal","5yrave","omni-directional_wave_power_496",17461.16699,c(32.9142, -118.747)
"498",497,1716.3855,31467.8,-8,"Federal","5yrave","omni-directional_wave_power_497",19033.83139,c(32.9159, -118.922)
"499",498,1597.9388,45490.887,-8,"Federal","5yrave","omni-directional_wave_power_498",22172.2076,c(32.9164, -119.079)
"500",499,926.9673,37792.742,-8,"Federal","5yrave","omni-directional_wave_power_499",26160.75355,c(32.9191, -119.249)
"501",500,227.0189,33244.61,-8,"Federal","5yrave","omni-directional_wave_power_500",29738.90251,c(32.9183, -119.415)
"502",501,776.1829,34700.3,-8,"Federal","5yrave","omni-directional_wave_power_501",32786.98226,c(32.9144, -119.587)
"503",502,1446.5831,39375.945,-8,"Federal","5yrave","omni-directional_wave_power_502",34477.38897,c(32.9195, -119.747)
"504",503,1065.6544,49548.92,-8,"Federal","5yrave","omni-directional_wave_power_503",35344.9477,c(32.9126, -119.918)
"505",504,6,329.19412,-8,"California","5yrave","omni-directional_wave_power_504",2940.774171,c(32.6633, -117.166)
"506",505,25.873,2272.759,-8,"California","5yrave","omni-directional_wave_power_505",7369.810787,c(32.7395, -117.281)
"507",506,432.7866,14546.705,-8,"Federal","5yrave","omni-directional_wave_power_506",9957.539604,c(32.7497, -117.416)
"508",507,1035,28932.137,-8,"Federal","5yrave","omni-directional_wave_power_507",11262.798,c(32.7495, -117.578)
"509",508,379.5934,44429.703,-8,"Federal","5yrave","omni-directional_wave_power_508",10915.05197,c(32.7464, -117.747)
"510",509,499.7046,41479.38,-8,"Federal","5yrave","omni-directional_wave_power_509",9249.545875,c(32.7425, -117.916)
"511",510,751.0518,25813.562,-8,"Federal","5yrave","omni-directional_wave_power_510",8841.092672,c(32.7566, -118.084)
"512",511,1106.4348,11526.588,-8,"Federal","5yrave","omni-directional_wave_power_511",10012.61835,c(32.753, -118.255)
"513",512,113.7774,6429.1274,-8,"Federal","5yrave","omni-directional_wave_power_512",18169.25712,c(32.742, -118.415)
"514",513,803.5353,13637.028,-8,"Federal","5yrave","omni-directional_wave_power_513",19464.88501,c(32.7469, -118.579)
"515",514,1253.2589,26404.213,-8,"Federal","5yrave","omni-directional_wave_power_514",21306.2918,c(32.7466, -118.754)
"516",515,1389.6549,39323.84,-8,"Federal","5yrave","omni-directional_wave_power_515",24035.614,c(32.7442, -118.914)
"517",516,593.4553,54005.598,-8,"Federal","5yrave","omni-directional_wave_power_516",26394.32799,c(32.7449, -119.087)
"518",517,124.3009,55435.52,-8,"Federal","5yrave","omni-directional_wave_power_517",29625.98537,c(32.7448, -119.255)
"519",518,1291.1962,51858.395,-8,"Federal","5yrave","omni-directional_wave_power_518",31642.7844,c(32.7496, -119.41)
"520",519,889.1956,51911.523,-8,"Federal","5yrave","omni-directional_wave_power_519",33963.04326,c(32.7556, -119.584)
"521",520,1140.217,57040.355,-8,"Federal","5yrave","omni-directional_wave_power_520",34683.41636,c(32.7478, -119.753)
"522",521,506.4763,64539.688,-8,"Federal","5yrave","omni-directional_wave_power_521",35472.65937,c(32.7446, -119.924)
"523",522,10,937.1406,-8,"California","5yrave","omni-directional_wave_power_522",6060.454935,c(32.5865, -117.144)
"524",523,48,9165.548,-8,"Federal","5yrave","omni-directional_wave_power_523",9750.179985,c(32.5824, -117.252)
"525",524,239.3909,18632.557,-8,"Federal","5yrave","omni-directional_wave_power_524",11116.47278,c(32.5826, -117.417)
"526",525,1219,30925.643,-8,"Mexico","5yrave","omni-directional_wave_power_525",10729.56671,c(32.5903, -117.582)
"527",526,798.7791,45369.434,-8,"Mexico","5yrave","omni-directional_wave_power_526",11507.0577,c(32.5893, -117.753)
"528",527,414.2129,48404.434,-8,"Federal","5yrave","omni-directional_wave_power_527",13467.22034,c(32.5799, -117.918)
"529",528,1831.4824,36770.535,-8,"Federal","5yrave","omni-directional_wave_power_528",16456.84575,c(32.5834, -118.074)
"530",529,1593.3857,27816.281,-8,"Federal","5yrave","omni-directional_wave_power_529",19447.39681,c(32.5793, -118.256)
"531",530,1143.7924,23391.715,-8,"Federal","5yrave","omni-directional_wave_power_530",19831.55645,c(32.5885, -118.414)
"532",531,1122.5815,27595.764,-8,"Federal","5yrave","omni-directional_wave_power_531",22562.99851,c(32.5877, -118.582)
"533",532,848.1031,37296.867,-8,"Federal","5yrave","omni-directional_wave_power_532",24008.62877,c(32.5903, -118.751)
"534",533,1099.5454,49120.3,-8,"Federal","5yrave","omni-directional_wave_power_533",26080.84715,c(32.5881, -118.922)
"535",534,389.8545,61688.49,-8,"Federal","5yrave","omni-directional_wave_power_534",27624.54679,c(32.5858, -119.079)
"536",535,124.3327,72329.49,-8,"Federal","5yrave","omni-directional_wave_power_535",30323.25775,c(32.5864, -119.254)
"537",536,989.8691,69955.46,-8,"Federal","5yrave","omni-directional_wave_power_536",33372.08827,c(32.5848, -119.425)
"538",537,1122.0859,71199.805,-8,"Federal","5yrave","omni-directional_wave_power_537",34089.82253,c(32.5804, -119.59)
"539",538,802.0931,73907.39,-8,"Federal","5yrave","omni-directional_wave_power_538",34753.18779,c(32.5853, -119.745)
"540",539,1190.4779,80269.56,-8,"Federal","5yrave","omni-directional_wave_power_539",35412.5351,c(32.5794, -119.918)
"541",540,1875.5426,104442.766,-8,"Federal","5yrave","omni-directional_wave_power_540",38525.00635,c(33.1709, -120.922)
"542",541,1180.489,83909.65,-8,"Federal","5yrave","omni-directional_wave_power_541",36600.29322,c(32.7582, -120.251)
"543",542,77.1195,72456.76,-8,"Federal","5yrave","omni-directional_wave_power_542",40545.32637,c(32.4186, -119.079)
"544",543,2.5192,88.060776,-8,"Mexico","5yrave","omni-directional_wave_power_543",3053.946191,c(32.4168, -117.251)
