"","site_number_jupyter","water_depth","distance_to_shore","timezone","jurisdiction","year","site_number","watts","geometry"
"89",88,1532.4254,53706.668,-8,"Federal","5yrave","omni-directional_wave_power_88",42855.62304,c(39.7508, -124.593)
"90",89,1535.2505,63213.03,-8,"Federal","5yrave","omni-directional_wave_power_89",44259.82134,c(39.7531, -124.743)
"91",90,61.6869,2365.6953,-8,"California","5yrave","omni-directional_wave_power_90",29395.85316,c(39.5795, -123.808)
"92",91,134.4561,11263.75,-8,"Federal","5yrave","omni-directional_wave_power_91",33344.88,c(39.5834, -123.918)
"93",92,871.6465,25531.293,-8,"Federal","5yrave","omni-directional_wave_power_92",36910.28121,c(39.5813, -124.085)
"94",93,1627.0327,39565.32,-8,"Federal","5yrave","omni-directional_wave_power_93",39409.96691,c(39.5765, -124.252)
"95",94,1639.9644,52221.004,-8,"Federal","5yrave","omni-directional_wave_power_94",41522.49305,c(39.5809, -124.412)
"96",95,1945.3552,65520.797,-8,"Federal","5yrave","omni-directional_wave_power_95",43395.35292,c(39.5848, -124.586)
"97",96,2567.5774,75698.22,-8,"Federal","5yrave","omni-directional_wave_power_96",44799.52062,c(39.5778, -124.743)
"98",97,7.0684,381.64938,-8,"California","5yrave","omni-directional_wave_power_97",23980.40646,c(39.4322, -123.822)
"99",98,131.6026,8366.747,-8,"Federal","5yrave","omni-directional_wave_power_98",34937.93689,c(39.4176, -123.918)
"100",99,698.5942,22422.518,-8,"Federal","5yrave","omni-directional_wave_power_99",37854.42923,c(39.4161, -124.082)
"101",100,1211.717,36882.902,-8,"Federal","5yrave","omni-directional_wave_power_100",40172.99781,c(39.4168, -124.25)
"102",101,1731.3802,50711.86,-8,"Federal","5yrave","omni-directional_wave_power_101",42233.17865,c(39.4169, -124.411)
"103",102,2709.1836,64614.14,-8,"Federal","5yrave","omni-directional_wave_power_102",43906.02774,c(39.4178, -124.573)
"104",103,61.0455,2173.2415,-8,"California","5yrave","omni-directional_wave_power_103",33188.83062,c(39.2316, -123.805)
"105",104,140.9585,10384.405,-8,"Federal","5yrave","omni-directional_wave_power_104",36215.83609,c(39.2509, -123.918)
"106",105,663.2022,24600.557,-8,"Federal","5yrave","omni-directional_wave_power_105",38958.12393,c(39.2514, -124.087)
"107",106,1302.8131,37580.316,-8,"Federal","5yrave","omni-directional_wave_power_106",40899.75843,c(39.2479, -124.243)
"108",107,2247.612,52553.15,-8,"Federal","5yrave","omni-directional_wave_power_107",43088.42719,c(39.2434, -124.421)
"109",108,3179.6792,66311.59,-8,"Federal","5yrave","omni-directional_wave_power_108",44543.81286,c(39.2446, -124.584)
"110",109,79.2082,5577.5923,-8,"California","5yrave","omni-directional_wave_power_109",34745.69157,c(39.0762, -123.77)
"111",110,129.3187,16887.525,-8,"Federal","5yrave","omni-directional_wave_power_110",37334.96961,c(39.0825, -123.918)
"112",111,842.8334,30103.885,-8,"Federal","5yrave","omni-directional_wave_power_111",39934.97101,c(39.0772, -124.085)
"113",112,1737.3778,42926.67,-8,"Federal","5yrave","omni-directional_wave_power_112",41756.90185,c(39.0807, -124.246)
"114",113,3252.8352,57014.184,-8,"Federal","5yrave","omni-directional_wave_power_113",43659.80359,c(39.0776, -124.414)
"115",114,3377.6375,70942.93,-8,"Federal","5yrave","omni-directional_wave_power_114",44991.8683,c(39.0766, -124.582)
"116",115,2554.7737,83015.5,-8,"Federal","5yrave","omni-directional_wave_power_115",46434.19579,c(39.7567, -125.083)
"117",116,3064.285,94332.51,-8,"Federal","5yrave","omni-directional_wave_power_116",46504.56919,c(39.2485, -124.913)
"118",117,2.3223,6035.6973,-8,"California","5yrave","omni-directional_wave_power_117",2.170100837,c(38.0656, -122.383)
"119",118,10.8889,528.7688,-8,"California","5yrave","omni-directional_wave_power_118",23240.23398,c(38.8491, -123.656)
